incident_id,timestamp,title,service,severity,category,symptoms,error_message,root_cause,resolution,recovery_time_minutes,status,engineer_notes,preventive_action,tags
INC-1039,2026-05-05 15:00,CrashLoopBackOff,CI/CD,Medium,Deployment,Pods restarting,CrashLoopBackOff,Bad deployment,Rollback release,16,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1040,2026-01-01 12:00,Database Deadlock,User Service,High,Database,Transactions stuck,deadlock detected,Conflicting transactions,Kill session; optimize queries,29,Resolved,Verified recovery for User Service.,Add monitoring and alerts,"database,user_service"
INC-1041,2026-06-28 23:00,Queue Overflow,RabbitMQ,Critical,Messaging,Queue delay,queue full,Producer burst,Increase consumers,8,Resolved,Verified recovery for RabbitMQ.,Add monitoring and alerts,"messaging,rabbitmq"
INC-1042,2026-01-15 18:00,Image Pull Error,Kubernetes,Low,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,27,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1043,2026-05-30 15:00,SSL Certificate Expired,Web Gateway,Medium,SSL,HTTPS unavailable,certificate expired,Missed renewal,Renew certificate,5,Resolved,Verified recovery for Web Gateway.,Add monitoring and alerts,"ssl,web_gateway"
INC-1044,2026-01-18 19:00,High CPU Usage,Payment API,Low,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,25,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"performance,payment_api"
INC-1045,2026-05-26 07:00,Image Pull Error,Kubernetes,Low,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,23,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1046,2026-03-08 06:00,Load Balancer Failure,Core Network,High,Network,Health checks failing,backend unhealthy,Application crash,Restart instances,11,Resolved,Verified recovery for Core Network.,Add monitoring and alerts,"network,core_network"
INC-1047,2026-06-21 20:00,SSO Timeout,Auth Service,High,Authentication,Users redirected,session expired,Identity provider latency,Restart IdP,18,Resolved,Verified recovery for Auth Service.,Add monitoring and alerts,"authentication,auth_service"
INC-1048,2026-04-28 19:00,SSL Certificate Expired,Web Gateway,Low,SSL,HTTPS unavailable,certificate expired,Missed renewal,Renew certificate,6,Resolved,Verified recovery for Web Gateway.,Add monitoring and alerts,"ssl,web_gateway"
INC-1049,2026-03-09 04:00,High CPU Usage,Analytics API,High,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,6,Resolved,Verified recovery for Analytics API.,Add monitoring and alerts,"performance,analytics_api"
INC-1050,2026-02-10 14:00,Image Pull Error,CI/CD,High,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,23,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1051,2026-07-29 17:00,High CPU Usage,Analytics API,High,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,25,Resolved,Verified recovery for Analytics API.,Add monitoring and alerts,"performance,analytics_api"
INC-1052,2026-01-30 03:00,Packet Loss,Core Network,Medium,Network,Intermittent connectivity,packet loss,Faulty switch,Replace switch,12,Resolved,Verified recovery for Core Network.,Add monitoring and alerts,"network,core_network"
INC-1053,2026-07-03 10:00,Permission Error,Auth Service,Medium,Authentication,403 responses,access denied,Incorrect role mapping,Update RBAC,25,Resolved,Verified recovery for Auth Service.,Add monitoring and alerts,"authentication,auth_service"
INC-1054,2026-03-06 01:00,Permission Error,IAM,Low,Authentication,403 responses,access denied,Incorrect role mapping,Update RBAC,24,Resolved,Verified recovery for IAM.,Add monitoring and alerts,"authentication,iam"
INC-1055,2026-01-01 10:00,Storage Mount Failure,Storage,Medium,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,24,Resolved,Verified recovery for Storage.,Add monitoring and alerts,"storage,storage"
INC-1056,2026-04-24 17:00,Authentication Failure,SSO,Critical,Authentication,Login failed,invalid token,Expired signing key,Rotate keys,21,Resolved,Verified recovery for SSO.,Add monitoring and alerts,"authentication,sso"
INC-1057,2026-06-26 04:00,Connection Pool Exhaustion,Payment API,Low,Database,HTTP 500; DB timeout,remaining connection slots are reserved,Connection pool exhausted,Restart workers; increase pool size,30,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"database,payment_api"
INC-1058,2026-02-02 01:00,SSL Certificate Expired,Nginx,High,SSL,HTTPS unavailable,certificate expired,Missed renewal,Renew certificate,15,Resolved,Verified recovery for Nginx.,Add monitoring and alerts,"ssl,nginx"
INC-1059,2026-06-24 07:00,Slow Queries,Inventory API,Low,Database,High latency,query timeout,Missing indexes,Create indexes; optimize queries,15,Resolved,Verified recovery for Inventory API.,Add monitoring and alerts,"database,inventory_api"
INC-1060,2026-07-11 04:00,Memory Leak,Analytics API,Medium,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,9,Resolved,Verified recovery for Analytics API.,Add monitoring and alerts,"performance,analytics_api"
INC-1061,2026-02-15 23:00,Cache Stampede,Redis,High,Cache,Latency spike,cache miss storm,Hot key expiration,Enable locking,29,Resolved,Verified recovery for Redis.,Add monitoring and alerts,"cache,redis"
INC-1062,2026-02-10 22:00,Disk Full,Object Storage,Low,Storage,Write failure,No space left,Logs filled disk,Rotate logs,16,Resolved,Verified recovery for Object Storage.,Add monitoring and alerts,"storage,object_storage"
INC-1063,2026-02-21 14:00,Replication Lag,Inventory API,High,Database,Read replica stale,replication delay,Network lag,Resync replicas,13,Resolved,Verified recovery for Inventory API.,Add monitoring and alerts,"database,inventory_api"
INC-1064,2026-06-18 06:00,CrashLoopBackOff,Kubernetes,Critical,Deployment,Pods restarting,CrashLoopBackOff,Bad deployment,Rollback release,14,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1065,2026-03-31 20:00,Authentication Failure,IAM,Critical,Authentication,Login failed,invalid token,Expired signing key,Rotate keys,25,Resolved,Verified recovery for IAM.,Add monitoring and alerts,"authentication,iam"
INC-1066,2026-01-30 08:00,Memory Leak,Payment API,Medium,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,22,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"performance,payment_api"
INC-1067,2026-06-02 13:00,Authentication Failure,Auth Service,High,Authentication,Login failed,invalid token,Expired signing key,Rotate keys,27,Resolved,Verified recovery for Auth Service.,Add monitoring and alerts,"authentication,auth_service"
INC-1068,2026-05-11 03:00,TLS Handshake Failure,Ingress,Critical,SSL,Secure connection failed,TLS handshake error,Cipher mismatch,Update TLS config,22,Resolved,Verified recovery for Ingress.,Add monitoring and alerts,"ssl,ingress"
INC-1069,2026-07-01 13:00,Image Pull Error,Kubernetes,Low,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,20,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1070,2026-04-21 02:00,High CPU Usage,Search Service,High,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,23,Resolved,Verified recovery for Search Service.,Add monitoring and alerts,"performance,search_service"
INC-1071,2026-03-18 16:00,SSL Certificate Expired,Ingress,High,SSL,HTTPS unavailable,certificate expired,Missed renewal,Renew certificate,25,Resolved,Verified recovery for Ingress.,Add monitoring and alerts,"ssl,ingress"
INC-1072,2026-06-28 09:00,Storage Mount Failure,Object Storage,Medium,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,10,Resolved,Verified recovery for Object Storage.,Add monitoring and alerts,"storage,object_storage"
INC-1073,2026-07-11 05:00,Storage Mount Failure,File Service,High,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,16,Resolved,Verified recovery for File Service.,Add monitoring and alerts,"storage,file_service"
INC-1074,2026-03-15 06:00,High CPU Usage,Search Service,Critical,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,29,Resolved,Verified recovery for Search Service.,Add monitoring and alerts,"performance,search_service"
INC-1075,2026-04-24 14:00,NTP Time Drift,Service Registry,Medium,Infrastructure,Token validation issue,clock skew,NTP stopped,Restart NTP,20,Resolved,Verified recovery for Service Registry.,Add monitoring and alerts,"infrastructure,service_registry"
INC-1076,2026-01-22 09:00,Kafka Consumer Lag,Event Bus,High,Messaging,Delayed processing,consumer lag,Insufficient consumers,Scale consumers,6,Resolved,Verified recovery for Event Bus.,Add monitoring and alerts,"messaging,event_bus"
INC-1077,2026-02-27 06:00,Deployment Rollout Failure,CI/CD,Medium,Deployment,New version unavailable,readiness probe failed,Faulty image,Rollback deployment,4,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1078,2026-06-06 02:00,Database Deadlock,User Service,Critical,Database,Transactions stuck,deadlock detected,Conflicting transactions,Kill session; optimize queries,17,Resolved,Verified recovery for User Service.,Add monitoring and alerts,"database,user_service"
INC-1079,2026-06-28 12:00,Service Discovery Failure,Config Server,Critical,Infrastructure,Services not found,registry timeout,Registry overload,Restart registry,16,Resolved,Verified recovery for Config Server.,Add monitoring and alerts,"infrastructure,config_server"
INC-1080,2026-06-26 00:00,CrashLoopBackOff,Docker,Low,Deployment,Pods restarting,CrashLoopBackOff,Bad deployment,Rollback release,28,Resolved,Verified recovery for Docker.,Add monitoring and alerts,"deployment,docker"
INC-1081,2026-07-25 22:00,Disk Full,Storage,Critical,Storage,Write failure,No space left,Logs filled disk,Rotate logs,5,Resolved,Verified recovery for Storage.,Add monitoring and alerts,"storage,storage"
INC-1082,2026-04-27 04:00,High CPU Usage,Payment API,Critical,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,25,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"performance,payment_api"
INC-1083,2026-06-06 23:00,Memory Leak,Search Service,Critical,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,30,Resolved,Verified recovery for Search Service.,Add monitoring and alerts,"performance,search_service"
INC-1084,2026-07-10 15:00,Memory Leak,Payment API,Critical,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,12,Resolved,Verified recovery for Payment API.,Add monitoring and alerts,"performance,payment_api"
INC-1085,2026-07-16 16:00,Deployment Rollout Failure,CI/CD,Critical,Deployment,New version unavailable,readiness probe failed,Faulty image,Rollback deployment,24,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1086,2026-01-20 22:00,Image Pull Error,CI/CD,High,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,11,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1087,2026-05-19 02:00,SSO Timeout,IAM,Medium,Authentication,Users redirected,session expired,Identity provider latency,Restart IdP,8,Resolved,Verified recovery for IAM.,Add monitoring and alerts,"authentication,iam"
INC-1088,2026-02-09 22:00,Image Pull Error,Docker,Medium,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,6,Resolved,Verified recovery for Docker.,Add monitoring and alerts,"deployment,docker"
INC-1089,2026-05-19 14:00,Storage Mount Failure,Object Storage,Critical,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,5,Resolved,Verified recovery for Object Storage.,Add monitoring and alerts,"storage,object_storage"
INC-1090,2026-07-17 18:00,Image Pull Error,CI/CD,Low,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,28,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1091,2026-01-02 11:00,NTP Time Drift,Service Registry,High,Infrastructure,Token validation issue,clock skew,NTP stopped,Restart NTP,28,Resolved,Verified recovery for Service Registry.,Add monitoring and alerts,"infrastructure,service_registry"
INC-1092,2026-07-11 23:00,Storage Mount Failure,File Service,Medium,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,19,Resolved,Verified recovery for File Service.,Add monitoring and alerts,"storage,file_service"
INC-1093,2026-05-05 00:00,Image Pull Error,CI/CD,Critical,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,14,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1094,2026-02-02 19:00,Disk Full,Object Storage,Low,Storage,Write failure,No space left,Logs filled disk,Rotate logs,16,Resolved,Verified recovery for Object Storage.,Add monitoring and alerts,"storage,object_storage"
INC-1095,2026-06-14 13:00,Service Discovery Failure,Monitoring,Medium,Infrastructure,Services not found,registry timeout,Registry overload,Restart registry,18,Resolved,Verified recovery for Monitoring.,Add monitoring and alerts,"infrastructure,monitoring"
INC-1096,2026-04-08 10:00,Redis Memory Spike,Redis Cluster,Medium,Cache,High memory,OOM command not allowed,Memory leak,Restart Redis; clear cache,18,Resolved,Verified recovery for Redis Cluster.,Add monitoring and alerts,"cache,redis_cluster"
INC-1097,2026-03-13 13:00,TLS Handshake Failure,Nginx,High,SSL,Secure connection failed,TLS handshake error,Cipher mismatch,Update TLS config,30,Resolved,Verified recovery for Nginx.,Add monitoring and alerts,"ssl,nginx"
INC-1098,2026-07-11 17:00,Load Balancer Failure,API Gateway,Low,Network,Health checks failing,backend unhealthy,Application crash,Restart instances,15,Resolved,Verified recovery for API Gateway.,Add monitoring and alerts,"network,api_gateway"
INC-1099,2026-07-19 20:00,Deployment Rollout Failure,Kubernetes,Low,Deployment,New version unavailable,readiness probe failed,Faulty image,Rollback deployment,28,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1100,2026-01-06 19:00,Database Deadlock,Inventory API,Medium,Database,Transactions stuck,deadlock detected,Conflicting transactions,Kill session; optimize queries,11,Resolved,Verified recovery for Inventory API.,Add monitoring and alerts,"database,inventory_api"
INC-1101,2026-01-30 18:00,Cache Stampede,Session Cache,Medium,Cache,Latency spike,cache miss storm,Hot key expiration,Enable locking,18,Resolved,Verified recovery for Session Cache.,Add monitoring and alerts,"cache,session_cache"
INC-1102,2026-06-05 19:00,SSO Timeout,Auth Service,Low,Authentication,Users redirected,session expired,Identity provider latency,Restart IdP,28,Resolved,Verified recovery for Auth Service.,Add monitoring and alerts,"authentication,auth_service"
INC-1103,2026-05-29 00:00,Cache Stampede,Redis,High,Cache,Latency spike,cache miss storm,Hot key expiration,Enable locking,22,Resolved,Verified recovery for Redis.,Add monitoring and alerts,"cache,redis"
INC-1104,2026-02-20 02:00,Storage Mount Failure,File Service,Medium,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,7,Resolved,Verified recovery for File Service.,Add monitoring and alerts,"storage,file_service"
INC-1105,2026-07-26 03:00,Permission Error,SSO,Low,Authentication,403 responses,access denied,Incorrect role mapping,Update RBAC,15,Resolved,Verified recovery for SSO.,Add monitoring and alerts,"authentication,sso"
INC-1106,2026-04-05 02:00,Memory Leak,Analytics API,High,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,4,Resolved,Verified recovery for Analytics API.,Add monitoring and alerts,"performance,analytics_api"
INC-1107,2026-04-21 11:00,Storage Mount Failure,Storage,Critical,Storage,Volume unavailable,mount failed,Filesystem corruption,Remount volume,26,Resolved,Verified recovery for Storage.,Add monitoring and alerts,"storage,storage"
INC-1108,2026-07-07 16:00,Cache Stampede,Redis,High,Cache,Latency spike,cache miss storm,Hot key expiration,Enable locking,23,Resolved,Verified recovery for Redis.,Add monitoring and alerts,"cache,redis"
INC-1109,2026-04-22 23:00,Memory Leak,Search Service,High,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,14,Resolved,Verified recovery for Search Service.,Add monitoring and alerts,"performance,search_service"
INC-1110,2026-04-26 07:00,CrashLoopBackOff,CI/CD,Critical,Deployment,Pods restarting,CrashLoopBackOff,Bad deployment,Rollback release,22,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1111,2026-01-08 15:00,NTP Time Drift,Service Registry,High,Infrastructure,Token validation issue,clock skew,NTP stopped,Restart NTP,9,Resolved,Verified recovery for Service Registry.,Add monitoring and alerts,"infrastructure,service_registry"
INC-1112,2026-07-24 08:00,Kafka Consumer Lag,RabbitMQ,High,Messaging,Delayed processing,consumer lag,Insufficient consumers,Scale consumers,12,Resolved,Verified recovery for RabbitMQ.,Add monitoring and alerts,"messaging,rabbitmq"
INC-1113,2026-01-03 16:00,NTP Time Drift,Config Server,Medium,Infrastructure,Token validation issue,clock skew,NTP stopped,Restart NTP,6,Resolved,Verified recovery for Config Server.,Add monitoring and alerts,"infrastructure,config_server"
INC-1114,2026-05-06 17:00,Deployment Rollout Failure,CI/CD,Medium,Deployment,New version unavailable,readiness probe failed,Faulty image,Rollback deployment,26,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1115,2026-07-22 00:00,Queue Overflow,RabbitMQ,Low,Messaging,Queue delay,queue full,Producer burst,Increase consumers,13,Resolved,Verified recovery for RabbitMQ.,Add monitoring and alerts,"messaging,rabbitmq"
INC-1116,2026-03-04 09:00,Image Pull Error,Docker,High,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,19,Resolved,Verified recovery for Docker.,Add monitoring and alerts,"deployment,docker"
INC-1117,2026-07-10 17:00,Memory Leak,Search Service,High,Performance,Gradual slowdown,Out of memory,Memory leak,Restart service,15,Resolved,Verified recovery for Search Service.,Add monitoring and alerts,"performance,search_service"
INC-1118,2026-03-06 07:00,Queue Overflow,RabbitMQ,Low,Messaging,Queue delay,queue full,Producer burst,Increase consumers,27,Resolved,Verified recovery for RabbitMQ.,Add monitoring and alerts,"messaging,rabbitmq"
INC-1119,2026-07-10 17:00,Image Pull Error,Kubernetes,Medium,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,10,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1120,2026-03-12 23:00,Deployment Rollout Failure,CI/CD,High,Deployment,New version unavailable,readiness probe failed,Faulty image,Rollback deployment,7,Resolved,Verified recovery for CI/CD.,Add monitoring and alerts,"deployment,ci/cd"
INC-1121,2026-04-03 05:00,Image Pull Error,Kubernetes,High,Deployment,Pods pending,ImagePullBackOff,Registry unavailable,Fix image tag,4,Resolved,Verified recovery for Kubernetes.,Add monitoring and alerts,"deployment,kubernetes"
INC-1122,2026-01-12 01:00,High CPU Usage,Search Service,High,Performance,Slow responses,CPU above 95%,Infinite loop,Deploy hotfix,26,Resolved,Verified recovery for Search Service.,Add monitoring and alerts,"performance,search_service"
INC-1123,2026-01-27 00:00,Cache Sync Failure,Redis Cluster,High,Cache,Stale cache,replication failed,Replica disconnected,Reconnect replica,19,Resolved,Verified recovery for Redis Cluster.,Add monitoring and alerts,"cache,redis_cluster"
INC-1124,2026-02-17 01:00,Queue Overflow,RabbitMQ,High,Messaging,Queue delay,queue full,Producer burst,Increase consumers,19,Resolved,Verified recovery for RabbitMQ.,Add monitoring and alerts,"messaging,rabbitmq"
INC-1125,2026-05-06 02:00,DNS Resolution Failure,DNS,Low,Network,Service unreachable,NXDOMAIN,DNS misconfiguration,Fix DNS records,8,Resolved,Verified recovery for DNS.,Add monitoring and alerts,"network,dns"
INC-1126,2026-01-22 07:00,Cache Sync Failure,Redis Cluster,Low,Cache,Stale cache,replication failed,Replica disconnected,Reconnect replica,21,Resolved,Verified recovery for Redis Cluster.,Add monitoring and alerts,"cache,redis_cluster"
